                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0404,                0.84158,                 1.5456,                0.81245,                0.86268,                0.90367,                0.52762,                 1.5738,                0.73539,                 1.5884,               0.003268,               0.003268,               0.003268
                     36,                 1.0384,                0.84442,                 1.5426,                0.81387,                0.85931,                0.90647,                 0.5272,                 1.5746,                0.73574,                 1.5866,                0.00307,                0.00307,                0.00307
                     37,                  1.038,                0.83441,                 1.5429,                0.82721,                0.86146,                0.90914,                0.53045,                 1.5714,                0.73029,                 1.5862,               0.002872,               0.002872,               0.002872
                     38,                 1.0281,                0.82789,                 1.5325,                0.82762,                0.86232,                0.90893,                0.53098,                 1.5706,                0.72608,                 1.5844,               0.002674,               0.002674,               0.002674
                     39,                 1.0282,                0.81819,                 1.5311,                0.83084,                0.86088,                0.90709,                0.53252,                 1.5678,                0.72242,                 1.5818,               0.002476,               0.002476,               0.002476
                     40,                 1.3592,                0.74775,                 1.5139,                0.81986,                0.85653,                0.90504,                0.53711,                 1.5569,                0.71403,                 1.5695,               0.002278,               0.002278,               0.002278
                     41,                 1.3376,                0.71639,                 1.4934,                0.82577,                0.85755,                0.90848,                  0.541,                 1.5559,                0.70703,                 1.5666,                0.00208,                0.00208,                0.00208
                     42,                 1.3347,                0.70081,                 1.4825,                0.82408,                0.86185,                 0.9088,                0.54466,                 1.5543,                0.70106,                 1.5662,               0.001882,               0.001882,               0.001882
                     43,                 1.3225,                0.68574,                 1.4693,                0.82893,                 0.8668,                0.90982,                0.54817,                 1.5522,                0.69883,                 1.5624,               0.001684,               0.001684,               0.001684
                     44,                  1.315,                0.67466,                 1.4641,                0.83058,                0.86264,                0.90971,                0.54841,                 1.5515,                0.69526,                 1.5601,               0.001486,               0.001486,               0.001486
                     45,                 1.3133,                0.66699,                 1.4556,                0.83298,                0.85574,                0.90724,                0.54752,                 1.5519,                0.69238,                   1.56,               0.001288,               0.001288,               0.001288
                     46,                 1.2969,                0.65708,                 1.4537,                 0.8263,                0.86271,                0.90729,                0.54971,                 1.5526,                0.69055,                 1.5605,                0.00109,                0.00109,                0.00109
                     47,                 1.2937,                0.65393,                 1.4424,                0.82938,                0.85889,                 0.9054,                0.54898,                 1.5513,                0.68979,                 1.5602,               0.000892,               0.000892,               0.000892
                     48,                  1.285,                0.63853,                 1.4305,                0.83189,                0.85431,                0.90541,                0.54921,                 1.5515,                0.68887,                 1.5618,               0.000694,               0.000694,               0.000694
                     49,                 1.2879,                0.63549,                 1.4283,                0.81819,                 0.8645,                0.90564,                0.55126,                 1.5517,                0.68745,                 1.5607,               0.000496,               0.000496,               0.000496
